Year,Winner,Score,Loser,Goals
1966,Hungary ,3–1, Brazil, Bene  2'Farkas  64'Mészöly  73' (pen.)   Tostão  14' 
1966,Portugal ,3–0, Bulgaria, Vutsov  7' (o.g.)Eusébio  38'Torres  81'    
1966,Portugal ,3–1, Brazil," Simões  15'Eusébio  27', 85'   Rildo  73' "
1966,Hungary ,3–1, Bulgaria, Davidov  43' (o.g.)Mészöly  45'Bene  54'   Asparuhov  15' 
1966,Soviet Union ,3–0, North Korea," Malofeyev  31', 88'Banishevskiy  33'    "
1966,Italy ,2–0, Chile, Mazzola  8'Barison  88'    
1966,Chile ,1–1, North Korea, Marcos  26' (pen.)   Pak Seung-zin  88' 
1966,Soviet Union ,1–0, Italy, Chislenko  57'    
1966,North Korea ,1–0, Italy, Pak Doo-ik  42'    
1966,Soviet Union ,2–1, Chile," Porkuyan  28', 85'   Marcos  32' "
1966,England ,1–0, Argentina, Hurst  78'    
1966,West Germany ,4–0, Uruguay," Haller  11', 83'Beckenbauer  70'Seeler  75'    "
1966,Soviet Union ,2–1, Hungary, Chislenko  5'Porkuyan  46'   Bene  57' 
1966,Portugal ,5–3, North Korea," Eusébio  27', 43' (pen.), 56', 59' (pen.)José Augusto  80'   Pak Seung-zin  1'Li Dong-woon  22'Yang Seung-kook  25' "
1966,West Germany ,2–1, Soviet Union, Haller  43'Beckenbauer  67'   Porkuyan  88' 
1966,England ,2–1, Portugal," B. Charlton  30', 80'   Eusébio  82' (pen.) "
1966,Portugal ,2–1, Soviet Union, Eusébio  12' (pen.)Torres  89'   Malofeyev  43' 
1966,England ,4–2 (a.e.t.), West Germany,"  Hurst  18', 101', 120' Peters  78'    Haller  12' Weber  89' "
1970,Soviet Union ,0–1 (a.e.t.), Uruguay,    Espárrago  117' 
1970,Italy ,4–1, Mexico," Guzmán  25' (o.g.)Riva  63', 76'Rivera  70'   González  13' "
1970,Brazil ,4–2, Peru," Rivellino  11'Tostão  15', 52'Jairzinho  75'   Gallardo  28'Cubillas  70' "
1970,West Germany ,3–2 (a.e.t.), England, Beckenbauer  68'Seeler  82'Müller  108'   Mullery  31'Peters  49' 
1970,Uruguay ,1–3, Brazil, Cubilla  19'   Clodoaldo  44'Jairzinho  76'Rivellino  89' 
1970,Italy ,4–3 (a.e.t.), West Germany," Boninsegna  8'Burgnich  98'Riva  104'Rivera  111'   Schnellinger  90'Müller  94', 110' "
1970,Uruguay ,0–1, West Germany,    Overath  26' 
1970,Brazil ,4–1, Italy, Pelé  18'Gérson  65'Jairzinho  71'Carlos Alberto  86'   Boninsegna  37' 
1974,Brazil ,0–1, Poland,    Lato  76' 
1974,Netherlands ,1–2, West Germany, Neeskens  2' (pen.)   Breitner  25' (pen.)Müller  43' 
1978,Brazil ,2–1, Italy, Nelinho  64'Dirceu  71'   Causio  38' 
1978,Argentina ,3–1 (a.e.t.), Netherlands," Kempes  38', 105'Bertoni  115'   Nanninga  82' "
1982,Poland ,0–2, Italy,"    Rossi  22', 73' "
